AGE,GENDER,DOMAIN,PhD,YEARSEXP,Use1,Use2,Use3,Use4,Use5
40,0,2,1,14,3,1,1,2,4
42,0,5,1,18,2,2,1,1,2
37,0,4,1,13,1,1,1,1,1
40,0,4,0,13,3,3,3,3,3
51,0,6,0,8,3,3,5,5,5
47,0,4,0,17,2,1,3,2,4
55,0,6,0,12,1,2,3,3,4
54,0,1,1,14,1,1,4,4,5
40,0,4,1,13,2,3,4,3,4
48,0,6,0,25,1,1,1,1,1
38,0,6,1,15,5,5,4,4,4
56,0,6,1,13,2,2,1,1,2
44,0,4,1,15,3,2,4,4,4
40,0,4,1,18,1,1,4,4,5
51,0,6,1,20,2,2,2,2,4
39,0,4,0,12,3,2,4,4,4
33,0,6,1,5,1,1,1,1,4
45,0,6,1,15,1,1,1,1,4
38,0,1,0,10,2,1,1,1,4
38,0,3,1,15,4,4,4,3,4
38,0,5,1,14,2,1,2,3,3
40,0,6,0,9,3,4,3,3,4
38,0,1,1,5,2,1,3,1,4
35,0,6,0,10,3,4,3,4,3
39,0,4,1,10,2,1,2,2,2
37,0,6,1,15,1,1,3,2,2
43,0,1,1,12,5,4,5,5,5
41,0,6,1,10,2,1,3,4,4
38,0,4,1,14,3,3,4,4,4
49,0,6,1,10,2,2,3,3,4
43,0,6,0,9,1,1,2,2,2
38,0,1,1,12,2,1,3,3,3
43,0,6,1,14,2,2,4,4,4
37,0,1,1,9,1,1,2,2,2
46,0,6,1,18,2,3,2,1,4
35,0,4,1,7,2,3,3,3,3
33,0,6,1,7,1,1,2,2,3
33,0,6,0,5,1,1,1,1,3
34,0,4,1,11,4,4,4,4,3
59,0,2,1,36,4,3,4,4,4
36,0,4,1,9,1,1,2,2,3
34,0,4,1,7,1,1,3,3,4
41,0,6,1,15,2,2,2,2,3
43,0,5,0,19,2,2,2,2,3
43,0,3,0,4,1,1,2,2,2
32,0,4,1,8,2,1,2,2,5
32,0,4,0,7,1,1,1,1,2
52,0,1,1,10,1,1,4,3,4
31,0,6,1,10,3,4,4,5,4
37,0,6,1,11,2,1,2,2,3
33,0,4,1,5,2,1,2,3,2
32,0,1,0,2,3,3,4,4,4
52,0,6,1,23,2,3,3,3,4
62,0,1,1,17,4,5,5,4,4
50,0,1,0,15,3,2,4,4,4
42,0,6,1,20,3,3,4,3,4
43,0,6,1,20,2,1,4,4,5
44,0,6,1,17,1,1,1,1,3
50,0,1,1,23,3,4,4,4,4
48,0,1,1,16,1,4,4,4,4
47,0,6,1,17,2,1,2,2,4
42,0,3,1,12,2,1,2,2,3
53,1,1,1,6,1,1,2,2,3
42,1,6,0,17,2,2,2,2,3
46,1,4,1,15,1,1,1,1,2
47,1,6,0,20,1,1,1,1,3
39,1,6,1,18,1,1,1,1,3
43,1,6,0,14,1,1,1,1,3
42,1,6,0,3,1,1,1,1,2
46,1,4,1,16,3,2,3,2,3
40,1,6,1,12,2,2,3,3,4
48,1,1,1,16,3,3,4,1,3
36,1,6,1,10,3,2,4,4,4
37,1,6,1,10,2,2,3,3,4
50,1,4,1,20,1,1,1,1,5
43,1,4,1,16,4,4,4,4,4
49,1,6,1,25,3,2,3,3,2
46,1,3,1,22,1,3,1,1,4
40,1,6,1,15,4,4,5,4,5
41,1,6,1,15,1,1,2,1,3
55,1,1,1,9,4,2,4,2,4
45,1,5,0,17,1,1,1,1,2
45,1,1,1,18,2,2,2,2,4
37,1,6,1,9,3,1,3,3,4
35,1,6,0,11,1,1,1,2,1
33,1,5,0,10,1,1,1,1,2
38,1,6,0,8,1,1,1,1,3
48,1,5,1,14,1,3,1,1,1
44,1,1,1,15,2,1,3,2,3
40,1,3,1,2,2,3,2,2,3
29,1,4,0,5,1,1,2,2,3
32,1,1,1,3,3,1,3,3,4
35,1,6,0,7,1,1,2,2,3
38,1,6,1,13,1,1,3,1,4
41,1,6,1,11,2,1,2,2,4
31,1,1,0,5,4,1,4,4,5
33,1,1,0,8,3,3,3,3,4
31,1,1,1,5,2,1,3,3,4
31,1,6,0,3,1,2,1,2,2
30,1,5,0,2,2,3,3,3,4
